name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,genre,YOUTUBE,spotify
Eidolon,Eidolon,Monocle Twins,6KuzTwyczjBp1C4f60Y5ID,1/24/2020,54,257668,0.553,0.862,0.24,0.946,0.0932,0.164,-19.522,0.0304,128.986,10,3,Calm,Blues,https://youtu.be/vON1wkpBss0?si=DDZYKvVk9VzlthoG,https://open.spotify.com/track/6KuzTwyczjBp1C4f60Y5ID?si=a8b440a2be104352
Electronic Memories (feat. Mickey Kojak),Find Paradise,k?d,2viJufnGlsjR1X51CEHpeg,10/5/2018,51,237346,0.602,0.0992,0.926,0.0449,0.241,0.574,-1.62,0.0897,100.014,5,4,Energetic,Country,https://youtu.be/ZHzjZ0z7LLo?si=QM0a2pTw0ECwsxRo,https://open.spotify.com/track/2viJufnGlsjR1X51CEHpeg?si=51413bb92d9d4222
Emotions in Motion,Emotions in Motion,Jaakko Eino Kalevi,4UmpEQtTlhBOxDPePaK8qR,8/1/2018,23,256906,0.651,0.199,0.503,0.644,0.0781,0.558,-10.906,0.0323,133.044,0,4,Sad,Country,https://youtu.be/t5xytE1i41I?si=a4BFvDfqV5BPqT0M,https://open.spotify.com/track/3HQzOcO3O8Ld8Wb50puM8k?si=bb19bdd1292e435f
Empty Street at Night,Empty Street at Night,Golden Sleep,6CY6TBcuh13KEk34pMnZA8,6/5/2020,32,307000,0.211,0.903,0.0147,0.935,0.342,0.0667,-22.964,0.0456,169.899,2,3,Calm,Blues,https://youtu.be/5JPhgcP3ATE?si=mr6vu4upk22qs4Au,https://open.spotify.com/track/6ZjrEwuP8kZ9GKslBsoPWg?si=3acceebdc7404342
Enemy,Seasons - Clean,Sevendust,3eqyYjMYUHGlmtCP4C4iSX,10/7/2003,43,183400,0.572,0.000181,0.99,0.000295,0.118,0.397,-1.992,0.066,106.912,1,4,Energetic,Rock,https://youtu.be/8MCGXhkDNP4?si=D2z3X-2GHOzqdmxr,https://open.spotify.com/track/3eqyYjMYUHGlmtCP4C4iSX?si=5afdcccca9c64aa4
Escaping Time,Floating,Benjamin Martins,7JrSIPcfkWhDzxWII8Jz7V,10/21/2019,60,200346,0.32,0.64,0.256,0.862,0.112,0.191,-17.98,0.0445,115.011,10,4,Calm,Rock,https://youtu.be/9Li9-Qu6cdg?si=1Ti-uWFGiHom1Qxw,https://open.spotify.com/track/7JrSIPcfkWhDzxWII8Jz7V?si=5d77549410fe41a4
Essential Attitudes,Honey,Peals,0T3UHut7JmCi5jcgYiMawm,9/16/2016,50,217987,0.444,0.449,0.497,0.722,0.081,0.25,-12.601,0.0383,99.093,5,4,Calm,Dance,https://youtu.be/9BO9CO7SNPM?si=Nj-kaFA8Ou5xDJ1O,https://open.spotify.com/track/0T3UHut7JmCi5jcgYiMawm?si=6d96ea0bc58c4373
Event Horizon,Event Horizon,Airwaves,7lSHfDPdyGdRyG234h5ToK,10/30/2018,57,310666,0.464,0.0665,0.38,0.898,0.114,0.0558,-8.052,0.0279,100.006,7,3,Calm,Country,https://youtu.be/eW232yPo2z0?si=SsQadZGIQcbmn5ax,https://open.spotify.com/track/1MfWxpeZ0nh3NY6ovusKhJ?si=5394da9ace834732
Every Kinda People,Double Fun,Robert Palmer,5jkUfQV3wlplyoz0PUja09,1/1/1978,0,199200,0.631,0.248,0.547,0.000119,0.0523,0.962,-12.626,0.036,94.533,6,4,Happy,Electronic,https://open.spotify.com/track/38E7U60ipLSTVDcPIuVzZw?si=90e2ba20fc51478f,https://open.spotify.com/track/38E7U60ipLSTVDcPIuVzZw?si=90e2ba20fc51478f
Every Way,Every Way,Antonio Giacca,4xxyCh7xkK30LVBO81poif,7/20/2018,49,166211,0.879,0.019,0.908,2.62E-06,0.309,0.759,-4.422,0.126,123.036,11,4,Energetic,Electronic,https://youtu.be/KW6PPfxS9Mc?si=vLD1MKkRhxD_YqoS,https://open.spotify.com/track/4xxyCh7xkK30LVBO81poif?si=0f546bd561b645c6
Everybody Hurts,Part Lies Part Heart Part Truth Part Garbage 1982-2011,R.E.M.,0sSxUKtpE11r5VVx1DIMww,11/11/2011,0,316880,0.282,0.568,0.476,0.0185,0.157,0.186,-6.524,0.0274,187.604,2,3,Sad,Blues,https://youtu.be/SDjI4vN67tY?si=N-m2-6G4_FAFOCNe,https://open.spotify.com/track/5VJ5By8uumlpj1CgSrig6a?si=2e8f7584572c4594
Everyday People,R&B: From Doo-Wop To Hip-Hop,Various Artists,7lL2lMWNtzOcf5HnEudNgn,10/8/1999,63,139506,0.813,0.245,0.619,0.0151,0.113,0.774,-8.203,0.0294,114.58,7,4,Happy,Hip-Hop,https://youtu.be/lLSe0Y7q8ZQ?si=4dzygtFkUMFjf70S,https://open.spotify.com/track/7lL2lMWNtzOcf5HnEudNgn?si=6eb367ccbc3a4c9b
Expedition,Expedition,Skytech,2MlnLVsrTJmHmdpzJQcQ6w,9/20/2019,51,150947,0.639,0.00288,0.974,0.596,0.349,0.353,-4.13,0.057,130,7,4,Happy,Electronic,https://youtu.be/715_5NiyPtg?si=6mBk0MAtvorE7GK8,https://open.spotify.com/track/1AhmRO0PUmGGFt5n7VLINn?si=fac89097f2e34019
Faces,Scary Kids Scaring Kids,Scary Kids Scaring Kids,2G7cxwbFSMneFgTMdnvICw,9/25/2007,43,205706,0.368,3.44E-05,0.967,3.44E-05,0.317,0.537,-3.464,0.0566,194.982,2,4,Energetic,R&B,https://youtu.be/T5j5l8mDz5c?si=k57hF4-UVC9IL8Bb,https://open.spotify.com/track/2G7cxwbFSMneFgTMdnvICw?si=96df5e620c654e98
Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,12/13/2019,87,240133,0.567,0.839,0.267,1.46E-06,0.089,0.0592,-6.502,0.0299,110.011,4,4,Sad,Country,https://youtu.be/Ojp71GGm-LQ?si=LlTHrZDKG7CrLJ8p,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp?si=e293853ee6244c22
Falling Ashes,Slowdive,Slowdive,6Zr0mt1HdVUwTEdMwqPXsC,5/5/2017,45,480758,0.332,0.954,0.255,0.752,0.0784,0.134,-13.698,0.0309,187.786,9,4,Sad,Electronic,https://youtu.be/PevZ0Wzpc3E?si=uZFXZRk_YPTyg6cd,https://open.spotify.com/track/4EocLlVV582YshaT7aXZxR?si=8161f5d681474c0e
Falling Asleep,Falling Asleep,Tiz McNamara,1FunUekKzZ9Mgt3BMYCrfF,10/25/2019,53,202400,0.537,0.899,0.201,0.00163,0.077,0.196,-12.948,0.033,134.087,2,4,Sad,Pop,https://youtu.be/OzhPUVBRrvI?si=sAtncUs-eCFhQ7ih,https://open.spotify.com/track/1FunUekKzZ9Mgt3BMYCrfF?si=73079a8e2864487a
Falling Away from Me,Issues,Korn,2F6FfZ4w8z3eJpSxPotVO5,11/9/1999,70,270920,0.468,0.00014,0.769,0.00124,0.271,0.17,-7.036,0.041,104.102,4,4,Energetic,Country,https://youtu.be/2s3iGpDqQpQ?si=wVITIAH3LVJERZq2,https://open.spotify.com/track/2F6FfZ4w8z3eJpSxPotVO5?si=ddd85027dc3b43fc
Fantasy - R3HAB Remix,Fantasy (R3HAB Remix),Sofie Tukker,3iGMErA58MMTYT1mBkUkRf,4/19/2019,19,188346,0.7,0.113,0.751,0.00129,0.241,0.246,-3.853,0.0566,124.027,4,4,Energetic,Jazz,https://youtu.be/bwY0XML-ntU?si=f46cIx2KCXHNwA6z,https://open.spotify.com/track/3iGMErA58MMTYT1mBkUkRf?si=ec47993c80844fbd
Fascination,This Is Alphabeat,Alphabeat,4uqNn56KFQ7NtJ35xWZKvf,12/10/2007,0,181666,0.491,0.000285,0.831,7.88E-05,0.0761,0.828,-5.321,0.0349,193.968,6,4,Happy,Blues,https://youtu.be/QvD6maGRh7c?si=LWpOoZhPIvOCiX2L,https://open.spotify.com/track/5AKQ1JHezaXDmN5SyMSpEr?si=bc3c3dcdc71546ca
Feeling This,blink-182,blink-182,26AYR77170U49cMcXB7aRV,11/1/2003,66,172645,0.411,0.103,0.962,0,0.529,0.622,-5.952,0.0917,173.143,4,4,Energetic,Pop,https://youtu.be/5ieYcCunCjI?si=B6-C5hV_Pr54wbBV,https://open.spotify.com/track/26AYR77170U49cMcXB7aRV?si=7cf4d0f741274604
Feels Like Flying,Feels Like Flying,Elementaries,3mMd2MGvEIDAfMfvcb9wsC,6/15/2020,40,198077,0.416,0.882,0.11,0.873,0.116,0.347,-13.776,0.0423,120.024,11,4,Calm,Metal,https://youtu.be/_YGK-v3oRkE?si=86H0rj1N7QT2vL15,https://open.spotify.com/track/3mMd2MGvEIDAfMfvcb9wsC?si=901f87dbdb964da8
Feels Like We're Dying,Far Away,Johnny Goth,0IvaKmBYBLVcdP0Ft8Dwik,2/22/2017,51,185250,0.579,0.73,0.411,0.8,0.0945,0.125,-13.068,0.0329,79.988,6,1,Sad,Classical,https://youtu.be/yOqcn3iJbPo?si=AIBmthefcRyiKYDE,https://open.spotify.com/track/0IvaKmBYBLVcdP0Ft8Dwik?si=edda6fa5bcdb4acb
Fields After Rain,Fields After Rain,Martèn LeGrand,3OjwAIOhan5AIGS2p6fJrt,6/5/2020,37,176000,0.474,0.973,0.161,0.907,0.113,0.357,-20.952,0.043,82.892,5,3,Calm,R&B,https://youtu.be/lP8xGhXLS74?si=mG_GDmEhSILoEtHH,https://open.spotify.com/track/3OjwAIOhan5AIGS2p6fJrt?si=ff08b2fb0fb74bc4
Fields Of Blossom,Fields Of Blossom,Martèn LeGrand,0BEkkhhqcCNx6VLMtshOiT,4/24/2020,32,197800,0.42,0.98,0.135,0.941,0.0974,0.155,-20.518,0.0815,118.9,4,4,Calm,Folk,https://youtu.be/IJJ04Y_78e4?si=KtRdrk3ZDsjNGKvR,https://open.spotify.com/track/0BEkkhhqcCNx6VLMtshOiT?si=28e7b27a14f74b21
Fire in Cairo,A Sentimental Education,Luna,71Znjl8mUrHfSg38OQU8bb,9/22/2017,31,209052,0.587,0.379,0.713,0.439,0.332,0.816,-8.858,0.0268,130.05,1,4,Sad,Dance,https://youtu.be/Y4an4WgIK84?si=2xldlrtk1DvdY2bk,https://open.spotify.com/track/71Znjl8mUrHfSg38OQU8bb?si=27ce6799d0a845b2
Fix You,Fix You,Valentin,0x4CFzoSdqVq5qTGgwZFuX,11/22/2019,47,240000,0.5,0.671,0.185,0,0.0827,0.159,-13.209,0.0302,140.148,1,4,Sad,Hip-Hop,https://youtu.be/ebB1fvJzT24?si=zYxxX-Yk78uHGNY6,https://open.spotify.com/track/51HGrKXIV2ksLGiWIga5Px?si=cb09af7eee1646e3
Fleur février,Fleur février,Jacco Wynia,16A82OAjqWawjDM8K5HCdm,2/7/2020,34,253904,0.428,0.985,0.0517,0.945,0.11,0.13,-21.74,0.0548,111.311,3,4,Calm,Dance,https://youtu.be/IJ7rNG5IrOo?si=LogzzGXCvtnNmsLz,https://open.spotify.com/track/16A82OAjqWawjDM8K5HCdm?si=a4690f88e39447d8
Flex,Flex,Fedde Le Grand,43p1IlKF0PBgwkqzS2EdCk,5/14/2018,42,155546,0.609,0.017,0.912,0.0335,0.44,0.533,-3.823,0.0486,128,0,4,Energetic,Classical,https://youtu.be/ZxHdr7V89ok?si=FTTi5SHSuoD5hYdg,https://open.spotify.com/track/43p1IlKF0PBgwkqzS2EdCk?si=c491a3fdcf204447
Floating Sunbeams,Floating Sunbeams,Michael Orvind,7hJZMJqFRlypzSlxC7Kn8n,7/7/2020,33,159292,0.205,0.98,0.202,0.85,0.128,0.086,-15.952,0.0427,113.057,1,4,Calm,Folk,https://youtu.be/E4Wq8PLy1nI?si=1riJbCGy73lUy1rc,https://open.spotify.com/track/7hJZMJqFRlypzSlxC7Kn8n?si=fb0e3c48f2d04c2d
Flowing,Flowing,Lucas Delphy,06G5MnuMA3cLbNwjFs8zIS,5/20/2020,39,131116,0.2,0.896,0.138,0.929,0.207,0.138,-20.417,0.0301,71.631,0,4,Calm,Folk,https://youtu.be/AGVN4dMF5Go?si=Bp01yako4dU0UiX0,https://open.spotify.com/track/06G5MnuMA3cLbNwjFs8zIS?si=0b877530ca124fa1
Fly - King Britt's Fhloston Paradigm Remix,Fly (King Britt's Fhloston Paradigm Remix),Low,69VbrwGah98lR7iuXkrk7e,7/18/2019,31,448426,0.614,0.521,0.498,0.855,0.136,0.418,-14.325,0.0466,120.003,10,3,Sad,Metal,https://youtu.be/PjHi4ZboQOI?si=8uR1r1-_y3LQ2LBs,https://open.spotify.com/track/2ruWu16O7SW3bvPpZtXPQS?si=50c86935850b4cb9
Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,Group Therapy 300 Live from Hong Kong (ABGT300),Above & Beyond,0TEW7oRDKD2mjJQH507ni4,10/5/2018,47,364743,0.532,0.000312,0.664,0.0427,0.303,0.075,-9.804,0.0603,128.973,1,4,Energetic,Country,https://youtu.be/Oi0sVRZ_49c?si=vEJOWKOLX0QTeaaP,https://open.spotify.com/track/0TEW7oRDKD2mjJQH507ni4?si=702449883f7c445f
Focus,Focus,Light of Sun,3DZ7DFolE5U2xEGIzFjeGo,6/3/2019,51,190526,0.273,0.238,0.161,0.481,0.133,0.0503,-17.727,0.053,113.89,4,4,Calm,Hip-Hop,https://youtu.be/6PlSUPxdSL0?si=IxaC7xjPElg8FwHU,https://open.spotify.com/track/3DZ7DFolE5U2xEGIzFjeGo?si=b4f6beee08af467f
Follow me,Follow me,Andre Ehmann,7d44sL4znFm5HZ6ltUVqbI,7/19/2019,51,204624,0.475,0.995,0.109,0.948,0.127,0.405,-29.839,0.0303,99.008,2,4,Calm,Indie,https://youtu.be/TMrNhkkyHeU?si=f8uB2PjKztd8O5Yl,https://open.spotify.com/track/7d44sL4znFm5HZ6ltUVqbI?si=794d2a49c7a74756
Found,Found,Martin Gauffin,2T2EemW8X3GlKvJe1gxpBC,8/23/2019,52,159049,0.517,0.901,0.397,0.867,0.11,0.195,-14.281,0.0289,100.005,0,4,Calm,Classical,https://youtu.be/ACE9Zmhh0UI?si=KaZZ0oyZD6zmh_40,https://open.spotify.com/track/2T2EemW8X3GlKvJe1gxpBC?si=253eeccad5e04cae
Free,TOGETHER,Third Party,6s2T9kuNYNZKsG5Fa1LiDN,3/15/2019,50,228971,0.481,0.0238,0.922,0.00185,0.0971,0.246,-4.17,0.064,127.931,3,4,Happy,Dance,https://youtu.be/4JpDcww4AEM?si=5Y18V8bkJ2yt1nrO,https://open.spotify.com/track/1tOTq5hXlLeKbqOVn8ddMF?si=8b0ccbe44a794c6b
Freya,Cantec De Leagane / Freya,Dave Pad,0aaTrekfgJgLiH00lnPKm7,3/24/2017,46,284878,0.64,0.000211,0.667,0.899,0.0748,0.288,-10.19,0.0379,122.994,11,4,Happy,Hip-Hop,https://youtu.be/dTv268j6914?si=vycBMemoL03OJvqL,https://open.spotify.com/track/4JU6ldKPGEItqZdywjmEJL?si=f63b9472e8a84422
Friday I'm In Love,Wish,The Cure,4QlzkaRHtU8gAdwqjWmO8n,1/1/1992,76,215160,0.526,0.00126,0.763,6.75E-05,0.359,0.514,-12.663,0.0341,136.205,0,4,Happy,Dance,https://youtu.be/mGgMZpGYiy8?si=MtQTQ2EiAyEbM9Vu,https://open.spotify.com/track/263aNAQCeFSWipk896byo6?si=9633d9670a6749bb
From Yesterday,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,4ogyT8HqLV6IdCepscSkh3,5/15/2007,0,245933,0.467,0.00578,0.876,0.00592,0.0453,0.131,-4.841,0.0693,135.055,10,4,Energetic,Dance,https://youtu.be/4Kvd-uquuhI?si=PX4JBs5Zo_DsjCiQ,https://open.spotify.com/track/1JBa9B1iA4yNVpJ5wVGrZH?si=14908f89f8b7451f
Frozen,Frozen,Ron Adelaar,4nTeeVQnNghbWWo6k7oPrH,6/5/2020,45,166000,0.352,0.986,0.0246,0.928,0.107,0.174,-27.226,0.0419,78.809,9,4,Calm,Electronic,https://youtu.be/mWLbmaRATvw?si=kvyVLAtFD737qBEX,https://open.spotify.com/track/2arI79IFh3fXAAvdFf3kog?si=3fcdc4c254a74f88
Fête sous les étoiles,Suite,Biba Dupont,55ux9bDGw3qTVfad3PxSTq,5/1/2020,34,184000,0.312,0.994,0.00811,0.961,0.1,0.0703,-30.381,0.0389,115.486,1,4,Calm,Electronic,https://youtu.be/fBeKRdquC3k?si=o5QGa_WfllHJW3oE,https://open.spotify.com/track/55ux9bDGw3qTVfad3PxSTq?si=9502ecda97f24dcc
Game Time (feat. Ninja),Game Time (feat. Ninja),3LAU,229MM2St7SnW43nT8ADlG8,11/30/2018,52,156631,0.534,8.05E-05,0.957,0.758,0.266,0.52,-4.025,0.0455,95.046,1,4,Happy,Dance,https://youtu.be/MDk8nye2w3g?si=VJKwZ9q-1sNVUvhb,https://open.spotify.com/track/229MM2St7SnW43nT8ADlG8?si=7107b88a2b4242b0
Gasoline,Disclaimer II,Seether,4e7yuouxvWPbK1q2kVlgz8,1/1/2004,39,168560,0.478,4.65E-05,0.942,0.0336,0.061,0.726,-2.71,0.08,173.515,1,4,Energetic,Indie,https://youtu.be/OMcr319KGpI?si=rE_hGmiAqploXAK5,https://open.spotify.com/track/4e7yuouxvWPbK1q2kVlgz8?si=41d0c30910034ea3
Geno - 2000 Remaster,Searching For The Young Soul Rebels,Dexys Midnight Runners,7gb626DDDHoiuVAGZEnlJk,1980-07,55,207226,0.481,0.688,0.6,0.00633,0.963,0.818,-8.722,0.0801,124.637,6,4,Happy,Indie,https://youtu.be/kv3iOVO0DWE?si=hPVrUKJnlYWtwJgu,https://open.spotify.com/track/7gb626DDDHoiuVAGZEnlJk?si=e133381c60c04eb4
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,2Foc5Q5nqNiosCNqttzHof,4/19/2013,78,248413,0.794,0.0426,0.811,1.07E-06,0.101,0.862,-8.966,0.038,116.047,6,4,Happy,Classical,https://youtu.be/5NV6Rdv1a3I?si=bLAPPw40y1wHqG1N,https://open.spotify.com/track/69kOkLUCkxIZYexIgSG8rq?si=c6a738949d114ad9
Get Up Offa That Thing,20 All-Time Greatest Hits!,James Brown,0nyrltZrQGAJMBZc1bYvuQ,1991,53,250200,0.883,0.225,0.664,2.30E-06,0.941,0.8,-10.395,0.411,118.104,4,4,Happy,Classical,https://youtu.be/1_uNMy20qAI?si=_HANwzc8g2OaWRMI,https://open.spotify.com/track/5XeSAezNDk9tuw3viiCbZ3?si=60923c6c7d4c4db3
Getting Away With Murder,Getting Away With Murder (Explicit Version),Papa Roach,3YQopTaSSgLSSuzYBZ9bLf,1/1/2004,0,191239,0.544,0.000115,0.97,3.34E-05,0.238,0.349,-3.78,0.0532,103.909,1,4,Energetic,Indie,https://youtu.be/HHrt43zIIMk?si=n3NDOyiTO77ZtTiC,https://open.spotify.com/track/5BWioOGvUwDD7VJ0BS5DFo?si=fb07a11fb4fc4786
Ghostride,Ghostride,Crumb,6mnYXjuK0CDzqem4eR5JGU,5/9/2019,0,126120,0.664,0.511,0.352,0.806,0.109,0.45,-9.426,0.0278,87.054,2,4,Sad,Rock,https://youtu.be/HS4aJ_51qNQ?si=TbP-zkKkbOM9qwv8,https://open.spotify.com/track/0R3TWpoxAhT3HDXM7tpRzS?si=bd9738f11a5842a1
Glaciers,Bloom,Lights & Motion,2No1A7ZuMaBGxz45jmA9Gw,2/2/2018,53,176373,0.0789,0.733,0.16,0.786,0.0943,0.0409,-18.144,0.0362,56.449,7,4,Calm,Country,https://youtu.be/TX3Zr5RX1ug?si=p7-i0D4VGWUACJbF,https://open.spotify.com/track/2No1A7ZuMaBGxz45jmA9Gw?si=c37009f1e3b746c0
Go With The Flow,Songs For The Deaf,Queens of the Stone Age,45DElIx0dXqUH4A88yQFdE,2002,59,187120,0.242,0.0148,0.992,0.113,0.833,0.374,-3.9,0.0988,159.37,4,4,Energetic,Classical,https://youtu.be/DcHKOC64KnE?si=PvSUCMQ9YJk7zQqm,https://open.spotify.com/track/45DElIx0dXqUH4A88yQFdE?si=d7184567a8734c1d
Gone My Way - KhoMha Remix,Gone My Way (KhoMha Remix),Morgan Page,08Hghm2hJpCxJux9YuhCG0,5/10/2019,46,168750,0.547,0.00129,0.895,0.107,0.288,0.0353,-7.081,0.0683,128.022,5,4,Energetic,Hip-Hop,https://youtu.be/4fdWmw-XqUU?si=mepdIQzwvtL4m5wS,https://open.spotify.com/track/08Hghm2hJpCxJux9YuhCG0?si=839f5551fe9c4333
Good Times,Risqué,CHIC,0G3fbPbE1vGeABDEZF0jeG,7/30/1979,66,495400,0.87,0.149,0.657,0.0102,0.053,0.893,-7.32,0.0522,110.596,2,4,Happy,Metal,https://youtu.be/51r5f5OdIY0?si=WZpgrrqXQZ-yOV-k,https://open.spotify.com/track/2wYKNcoqKW4IEcllj42xz1?si=b342715eab3549ab
Good Vibrations - Remastered,Good Vibrations 40th Anniversary,The Beach Boys,2oF7FZHIJbzjeEXZ3D0Ku4,1/1/2006,66,217746,0.403,0.387,0.495,8.03E-06,0.147,0.38,-6.888,0.0312,132.912,10,4,Happy,Indie,https://youtu.be/DsY4Es5p6UM?si=i5l43xUTWAnI8EX0,https://open.spotify.com/track/7tf64lNC31lWlTsih0nfZf?si=4f13e6b024694273
Goodbye,The Devil's Walk,Apparat,4VxaUj96W2jw9UOtKHu51p,2011,69,256786,0.484,0.406,0.457,0.646,0.297,0.187,-13.976,0.0456,87.159,1,4,Sad,Classical,https://youtu.be/66VnOdk6oto?si=kjTfkDcwehqpmL9s,https://open.spotify.com/track/6BJXuY0lY0EUtSDCgkYnqE?si=fd4037416892485e
Goshen,East Harlem,Beirut,5rLZGAZOstOC3fqhmGChvK,6/14/2011,0,200146,0.284,0.848,0.262,0.00483,0.0966,0.107,-9.869,0.028,98.66,11,4,Sad,Indie,https://youtu.be/8IdiHZuMjf8?si=yb7n3L-AHMD3gAXE,https://open.spotify.com/track/2ZvADVmoDv5F9vW0aHp3Xw?si=336aa354d8904dc8
"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",Bach,Johann Sebastian Bach,7ANhXB1OJBaTb7kDoAJRLq,9/27/2019,31,159866,0.566,0.995,0.00792,0.909,0.0874,0.0621,-34.484,0.0445,61.167,3,4,Calm,Dance,https://youtu.be/2rUsZlXFhcc?si=gRxswkK2movpKbQD,https://open.spotify.com/album/5VK8DceTMD3TDg7xZlkCpz?si=Um5O6etBRp2EGY1hP7pNIQ
Goya,Goya,Minxz,2bo6ZMPnFkWCd0VRTMwbcs,7/12/2019,21,235813,0.365,0.994,0.00656,0.888,0.119,0.0809,-21.678,0.0427,68.17,8,5,Calm,Hip-Hop,https://youtu.be/51tCvxDWNqU?si=s_OhWDpgshDRDiBO,https://open.spotify.com/track/4TmeUMZ9fWGq4npoH0Zi6P?si=23b5d85c21364595
Gracewood (Revisited),In Between (A-Side),Steven Vrancken,1TSpCeUusXyZ7FiaDuy3x1,5/1/2020,11,139050,0.353,0.969,0.0544,0.915,0.106,0.158,-22.657,0.0408,74.883,8,4,Calm,Folk,https://youtu.be/wq9O6zd7vmI?si=rMQ3-mLujxEOi7aT,https://open.spotify.com/track/1AyEcGoSssMf4krUaNp44U?si=3f6c91fdddcf4bfe
Green Street,Green Street,Alexander Motovilov,4kjbflfFCcNWkBGWvYBSxz,7/31/2020,27,133125,0.373,0.978,0.191,0.944,0.0737,0.411,-24.099,0.0302,96.682,7,4,Calm,Soul,https://youtu.be/v47MYRH2byo?si=Raf7UBsU-XqI9JnE,https://open.spotify.com/track/4kjbflfFCcNWkBGWvYBSxz?si=cf02a4c4a42d48d0
Groove Is in the Heart,Rhino Hi-Five: Deee-Lite,Deee-Lite,2UVLuddklEVak5PXgC7baA,4/19/2005,65,231786,0.694,0.0153,0.881,0.0196,0.0851,0.924,-4.053,0.0701,121.554,1,4,Happy,Dance,https://youtu.be/Y4TC2D7uGqs?si=4i7kLmdmm2rH5UOL,https://open.spotify.com/track/2He3NOyqtLNE3RQPpeDdSb?si=e7ff3553e24f400c
Groovin,Groovin,Sir Roy,3ktUAf5M4HiCt6n7Zb323H,2/10/2018,50,267152,0.845,0.0447,0.744,0.343,0.13,0.694,-9.539,0.0567,126,10,4,Energetic,Pop,https://youtu.be/5JZW3iNRpYY?si=HrWG3oWhNu6b0_jj,https://open.spotify.com/track/4tdw04pRyN28q6cUVD4LbY?si=f79ab011ef4f4b0b
Guernica,Deja Entendu,Brand New,7lUjs7bf1fjKI8HKhbNp6z,6/17/2003,44,203173,0.382,0.127,0.907,5.65E-06,0.0915,0.346,-6.383,0.295,183.35,10,4,Energetic,R&B,https://youtu.be/xO2EV-x9MOk?si=RURgnF9hnHAFtC34,https://open.spotify.com/track/7lUjs7bf1fjKI8HKhbNp6z?si=24cec5908ced45b0
Halfway There (feat. Lena Leon),Halfway There (feat. Lena Leon),Tiësto,3EKKIR8be1kfAAwaz1fzyS,3/15/2019,58,195000,0.59,0.000753,0.888,0.00535,0.817,0.0715,-4.151,0.0797,128.025,0,4,Energetic,Rock,https://youtu.be/iuLuWeq45_0?si=J6Un2Hb_XXAy387O,https://open.spotify.com/track/3EKKIR8be1kfAAwaz1fzyS?si=b8f19deb33a0484c
Handful Of Redemption,Tomorrow Come Today,Boysetsfire,3ekjqtjoDwy5YLuGtKoXDO,1/1/2003,34,240253,0.508,0.00022,0.947,0.0315,0.0784,0.419,-3.684,0.0531,163.731,3,4,Energetic,Blues,https://youtu.be/jsv3Uf0ULXI?si=3sTEVqExgd6WsRiq,https://open.spotify.com/track/3ekjqtjoDwy5YLuGtKoXDO?si=e3241cb27c7f460b
Happy Ending,Body And Soul,Joe Jackson,1qv9TWDpXh50DPLgWD4bnH,1/1/1984,51,218466,0.635,0.0973,0.808,0,0.141,0.726,-5.026,0.0262,131.377,9,4,Happy,Punk,https://youtu.be/v1rXFl2tE1g?si=RWqrqXs5ybjcDCqP,https://open.spotify.com/track/1qv9TWDpXh50DPLgWD4bnH?si=e9fdfe79e5f94c81
Happy Together,Happy Together,The Turtles,1JO1xLtVc8mWhIoE3YaCL0,1967,74,176293,0.584,0.55,0.367,1.38E-05,0.0818,0.588,-9.638,0.0328,120.175,6,4,Happy,Folk,https://youtu.be/9ZEURntrQOg?si=lw2n4mJlJRQSjEQu,https://open.spotify.com/track/1JO1xLtVc8mWhIoE3YaCL0?si=992083f892e84ac9
Harvest Love,Harvest Love,Tash Sultana,2KK7OUblFkd7TT9TjWgW7z,7/13/2018,41,365928,0.276,0.314,0.251,6.05E-06,0.122,0.18,-9.078,0.0295,95.705,2,4,Sad,Country,https://youtu.be/K5gJ9QvgzrA?si=3DVw-OMXyxDrarZk,https://open.spotify.com/track/0AySFMGHUTpgmpR6EE32V6?si=31339799c1d5426b
Hash Pipe,Weezer (Green Album),Weezer,2mPMFJvQ0v27gVqe5b6nDn,5/15/2001,65,186533,0.578,0.000121,0.882,0.479,0.284,0.623,-6.354,0.044,125.603,7,4,Energetic,Blues,https://youtu.be/Q2yu13-m-eE?si=4Vp__JjudlIdjAls,https://open.spotify.com/track/2mPMFJvQ0v27gVqe5b6nDn?si=0820260073d84179
Heaven - David Guetta & MORTEN Remix,Heaven (David Guetta & MORTEN Remix),Avicii,4QAUGy6k7c3IOAhgWz52r7,8/23/2019,66,215238,0.572,0.00292,0.934,0.0198,0.105,0.204,-5.053,0.0446,125.948,6,4,Happy,Soul,https://youtu.be/mcNaThbOIaI?si=jJ1lcaTObATR4kxQ,https://open.spotify.com/track/4QAUGy6k7c3IOAhgWz52r7?si=2c2ed1efe9b44dcd
